Datetimes,"Streamflow, ft&#179;/s"
1990-08-04T14:15:00-05:00,224
1990-08-05T14:15:00.000-05:00,224
1990-08-05T14:15:00-05:00,195
1990-08-06T14:15:00.000-05:00,195
1990-08-06T14:15:00-05:00,173
1990-08-07T14:15:00.000-05:00,173
1990-08-07T14:15:00-05:00,165
1990-08-08T14:15:00.000-05:00,165
1990-08-08T14:15:00-05:00,161
1990-08-09T14:15:00.000-05:00,161
1990-08-09T14:15:00-05:00,153
1990-08-10T14:15:00.000-05:00,153
1990-08-10T14:15:00-05:00,153
1990-08-11T14:15:00.000-05:00,153
1990-08-11T14:15:00-05:00,255
1990-08-12T14:15:00.000-05:00,255
1990-08-12T14:15:00-05:00,280
1990-08-13T14:15:00.000-05:00,280
1990-08-13T14:15:00-05:00,185
1990-08-14T14:15:00.000-05:00,185
1990-08-14T14:15:00-05:00,175
1990-08-15T14:15:00.000-05:00,175
1990-08-15T14:15:00-05:00,227
1990-08-16T14:15:00.000-05:00,227
1990-08-16T14:15:00-05:00,147
1990-08-17T14:15:00.000-05:00,147
1990-08-17T14:15:00-05:00,136
1990-08-18T14:15:00.000-05:00,136
1990-08-18T14:15:00-05:00,145
1990-08-19T14:15:00.000-05:00,145
1990-08-19T14:15:00-05:00,114
1990-08-20T14:15:00.000-05:00,114
1990-08-20T14:15:00-05:00,112
1990-08-21T14:15:00.000-05:00,112
1990-08-21T14:15:00-05:00,112
1990-08-22T14:15:00.000-05:00,112
1990-08-22T14:15:00-05:00,107
1990-08-23T14:15:00.000-05:00,107
1990-08-23T14:15:00-05:00,98.0
1990-08-24T14:15:00.000-05:00,98.0
1990-08-24T14:15:00-05:00,97.0
1990-08-25T14:15:00.000-05:00,97.0
1990-08-25T14:15:00-05:00,93.0
1990-08-26T14:15:00.000-05:00,93.0
1990-08-26T14:15:00-05:00,87.0
1990-08-27T14:15:00.000-05:00,87.0
1990-08-27T14:15:00-05:00,79.0
1990-08-28T14:15:00.000-05:00,79.0
1990-08-28T14:15:00-05:00,73.0
1990-08-29T14:15:00.000-05:00,73.0
1990-08-29T14:15:00-05:00,71.0
1990-08-30T14:15:00.000-05:00,71.0
1990-08-30T14:15:00-05:00,73.0
1990-08-31T14:15:00.000-05:00,73.0
1990-08-31T14:15:00-05:00,73.0
1990-09-01T14:15:00.000-05:00,73.0
1990-09-01T14:15:00-05:00,68.0
1990-09-02T14:15:00.000-05:00,68.0
1990-09-02T14:15:00-05:00,84.0
1990-09-03T14:15:00.000-05:00,84.0
1990-09-03T14:15:00-05:00,77.0
1990-09-04T14:15:00.000-05:00,77.0
1990-09-04T14:15:00-05:00,66.0
1990-09-05T14:15:00.000-05:00,66.0
1990-09-05T14:15:00-05:00,61.0
1990-09-06T14:15:00.000-05:00,61.0
1990-09-06T14:15:00-05:00,61.0
1990-09-07T14:15:00.000-05:00,61.0
1990-09-07T14:15:00-05:00,60.0
1990-09-08T14:15:00.000-05:00,60.0
1990-09-08T14:15:00-05:00,59.0
1990-09-09T14:15:00.000-05:00,59.0
1990-09-09T14:15:00-05:00,59.0
1990-09-10T14:15:00.000-05:00,59.0
1990-09-10T14:15:00-05:00,55.0
1990-09-11T14:15:00.000-05:00,55.0
1990-09-11T14:15:00-05:00,56.0
1990-09-12T14:15:00.000-05:00,56.0
1990-09-12T14:15:00-05:00,55.0
1990-09-13T14:15:00.000-05:00,55.0
1990-09-13T14:15:00-05:00,53.0
1990-09-14T14:15:00.000-05:00,53.0
1990-09-14T14:15:00-05:00,51.0
1990-09-15T14:15:00.000-05:00,51.0
1990-09-15T14:15:00-05:00,48.0
1990-09-16T14:15:00.000-05:00,48.0
1990-09-16T14:15:00-05:00,46.0
1990-09-17T14:15:00.000-05:00,46.0
1990-09-17T14:15:00-05:00,55.0
1990-09-18T14:15:00.000-05:00,55.0
1990-09-18T14:15:00-05:00,59.0
1990-09-19T14:15:00.000-05:00,59.0
1990-09-19T14:15:00-05:00,59.0
1990-09-20T14:15:00.000-05:00,59.0
1990-09-20T14:15:00-05:00,60.0
1990-09-21T14:15:00.000-05:00,60.0
1990-09-21T14:15:00-05:00,55.0
1990-09-22T14:15:00.000-05:00,55.0
1990-09-22T14:15:00-05:00,51.0
1990-09-23T14:15:00.000-05:00,51.0
1990-09-23T14:15:00-05:00,47.0
1990-09-24T14:15:00.000-05:00,47.0
1990-09-24T14:15:00-05:00,51.0
1990-09-25T14:15:00.000-05:00,51.0
1990-09-25T14:15:00-05:00,50.0
1990-09-26T14:15:00.000-05:00,50.0
1990-09-26T14:15:00-05:00,50.0
1990-09-27T14:15:00.000-05:00,50.0
1990-09-27T14:15:00-05:00,51.0
1990-09-28T14:15:00.000-05:00,51.0
1990-09-28T14:15:00-05:00,49.0
1990-09-29T14:15:00.000-05:00,49.0
1990-09-29T14:15:00-05:00,47.0
1990-09-30T14:15:00.000-05:00,47.0
1990-09-30T14:15:00-05:00,52.0
1990-10-01T14:15:00-05:00,52.0
1990-10-02T14:15:00.000-05:00,52.0
1990-10-02T14:15:00-05:00,71.0
1990-10-03T14:15:00.000-05:00,71.0
1990-10-03T14:15:00-05:00,74.0
1990-10-04T14:15:00.000-05:00,74.0
1990-10-04T14:15:00-05:00,82.0
1990-10-05T14:15:00.000-05:00,82.0
1990-10-05T14:15:00-05:00,63.0
1990-10-06T14:15:00.000-05:00,63.0
1990-10-06T14:15:00-05:00,47.0
1990-10-07T14:15:00.000-05:00,47.0
1990-10-07T14:15:00-05:00,48.0
1990-10-08T14:15:00.000-05:00,48.0
1990-10-08T14:15:00-05:00,51.0
1990-10-09T14:15:00.000-05:00,51.0
1990-10-09T14:15:00-05:00,55.0
1990-10-10T14:15:00.000-05:00,55.0
1990-10-10T14:15:00-05:00,56.0
1990-10-11T14:15:00.000-05:00,56.0
1990-10-11T14:15:00-05:00,56.0
1990-10-12T14:15:00.000-05:00,56.0
1990-10-12T14:15:00-05:00,55.0
1990-10-13T14:15:00.000-05:00,55.0
1990-10-13T14:15:00-05:00,52.0
1990-10-14T14:15:00.000-05:00,52.0
1990-10-14T14:15:00-05:00,51.0
1990-10-15T14:15:00.000-05:00,51.0
1990-10-15T14:15:00-05:00,51.0
1990-10-16T14:15:00.000-05:00,51.0
1990-10-16T14:15:00-05:00,56.0
1990-10-17T14:15:00.000-05:00,56.0
1990-10-17T14:15:00-05:00,51.0
1990-10-18T14:15:00.000-05:00,51.0
1990-10-18T14:15:00-05:00,55.0
1990-10-19T14:15:00.000-05:00,55.0
1990-10-19T14:15:00-05:00,55.0
1990-10-20T14:15:00.000-05:00,55.0
1990-10-20T14:15:00-05:00,56.0
1990-10-21T14:15:00.000-05:00,56.0
1990-10-21T14:15:00-05:00,58.0
1990-10-22T14:15:00.000-05:00,58.0
1990-10-22T14:15:00-05:00,59.0
1990-10-23T14:15:00.000-05:00,59.0
1990-10-23T14:15:00-05:00,60.0
1990-10-24T14:15:00-05:00,60.0
1990-10-25T14:15:00.000-05:00,60.0
1990-10-25T14:15:00-05:00,56.0
1990-10-26T14:15:00.000-05:00,56.0
1990-10-26T14:15:00-05:00,58.0
1990-10-27T14:15:00.000-05:00,58.0
1990-10-27T14:15:00-05:00,57.0
1990-10-28T14:15:00.000-06:00,57.0
1990-10-28T14:15:00-06:00,60.0
1990-10-29T14:15:00.000-06:00,60.0
1990-10-29T14:15:00-06:00,60.0
1990-10-30T14:15:00.000-06:00,60.0
1990-10-30T14:15:00-06:00,60.0
1990-10-31T14:15:00.000-06:00,60.0
1990-10-31T14:15:00-06:00,63.0
1990-11-01T14:15:00-06:00,63.0
1990-11-02T14:15:00.000-06:00,63.0
1990-11-02T14:15:00-06:00,67.0
1990-11-03T14:15:00.000-06:00,67.0
1990-11-03T14:15:00-06:00,107
1990-11-04T14:15:00.000-06:00,107
1990-11-04T14:15:00-06:00,115
1990-11-05T14:15:00.000-06:00,115
1990-11-05T14:15:00-06:00,77.0
1990-11-06T14:15:00-06:00,77.0
1990-11-07T14:15:00.000-06:00,77.0
1990-11-07T14:15:00-06:00,77.0
1990-11-08T14:15:00.000-06:00,77.0
1990-11-08T14:15:00-06:00,78.0
1990-11-09T14:15:00.000-06:00,78.0
1990-11-09T14:15:00-06:00,77.0
1990-11-10T14:15:00.000-06:00,77.0
1990-11-10T14:15:00-06:00,77.0
1990-11-11T14:15:00-06:00,77.0
1990-11-12T14:15:00.000-06:00,77.0
1990-11-12T14:15:00-06:00,69.0
1990-11-13T14:15:00.000-06:00,69.0
1990-11-13T14:15:00-06:00,67.0
1990-11-14T14:15:00.000-06:00,67.0
1990-11-14T14:15:00-06:00,71.0
1990-11-15T14:15:00.000-06:00,71.0
1990-11-15T14:15:00-06:00,60.0
1990-11-16T14:15:00.000-06:00,60.0
1990-11-16T14:15:00-06:00,63.0
1990-11-17T14:15:00.000-06:00,63.0
1990-11-17T14:15:00-06:00,63.0
1990-11-18T14:15:00.000-06:00,63.0
1990-11-18T14:15:00-06:00,63.0
1990-11-19T14:15:00.000-06:00,63.0
1990-11-19T14:15:00-06:00,66.0
1990-11-20T14:15:00.000-06:00,66.0
1990-11-20T14:15:00-06:00,66.0
1990-11-21T14:15:00.000-06:00,66.0
1990-11-21T14:15:00-06:00,57.0
1990-11-22T14:15:00.000-06:00,57.0
1990-11-22T14:15:00-06:00,59.0
1990-11-23T14:15:00.000-06:00,59.0
