Count,Site ID number,Parameter,Start date,Start time,End date,End time,Potential Observations,Actual Observations,Difference between observations,Agency source,Mean,SD of Mean (column L),5th Percentile,10th Percentile,20th Percentile,30th Percentile,40th Percentile,50th Percentile,60th Percentile,70th Percentile,80th Percentile,90th Percentile,95th Percentile,load (kg in time increment)
1,test_data,-0.16225277420842482,2019-01-01,00:00:00,2021-01-01,00:00:00,19998,19998,0,USGS,0.052467593655626574,-1.5860118715130047,-1.2183125826953425,-0.8002111624453117,-0.48299442814666116,-0.19313913391976084,0.05406358200526601,0.30427120501093896,0.568146297575416,0.8914290866065602,1.3406340739587401,1.68465904322172,0.9993479271158366
1,test_data,-0.16225277420842482,2019-01-01,00:00:00,2021-01-01,00:00:00,19998,19998,0,USGS,0.052467593655626574,-1.5860118715130047,-1.2183125826953425,-0.8002111624453117,-0.48299442814666116,-0.19313913391976084,0.05406358200526601,0.30427120501093896,0.568146297575416,0.8914290866065602,1.3406340739587401,1.68465904322172,0.9993479271158366
1,test_data,-0.16225277420842482,2019-01-01,00:00:00,2021-01-01,00:00:00,19998,19998,0,USGS,0.052467593655626574,-1.5860118715130047,-1.2183125826953425,-0.8002111624453117,-0.48299442814666116,-0.19313913391976084,0.05406358200526601,0.30427120501093896,0.568146297575416,0.8914290866065602,1.3406340739587401,1.68465904322172,0.9993479271158366
1,test_data,-0.16225277420842482,2019-01-01,00:00:00,2021-01-01,00:00:00,19998,19998,0,USGS,0.052467593655626574,-1.5860118715130047,-1.2183125826953425,-0.8002111624453117,-0.48299442814666116,-0.19313913391976084,0.05406358200526601,0.30427120501093896,0.568146297575416,0.8914290866065602,1.3406340739587401,1.68465904322172,0.9993479271158366
1,test_data,-0.16225277420842482,2019-01-01,00:00:00,2021-01-01,00:00:00,19998,19998,0,USGS,0.052467593655626574,-1.5860118715130047,-1.2183125826953425,-0.8002111624453117,-0.48299442814666116,-0.19313913391976084,0.05406358200526601,0.30427120501093896,0.568146297575416,0.8914290866065602,1.3406340739587401,1.68465904322172,0.9993479271158366
1,test_data,-0.16225277420842482,2019-01-01,00:00:00,2021-01-01,00:00:00,19998,19998,0,USGS,0.052467593655626574,-1.5860118715130047,-1.2183125826953425,-0.8002111624453117,-0.48299442814666116,-0.19313913391976084,0.05406358200526601,0.30427120501093896,0.568146297575416,0.8914290866065602,1.3406340739587401,1.68465904322172,0.9993479271158366
1,skew 0; mean 10; sd 1,val,2019-01-01,00:00:00,2021-01-01,00:00:00,20000,20000,0,USGS,10.000846909636326,8.353228445221335,8.734420665267564,9.172716202639982,9.477298039483873,9.749988106495584,10.020263521006814,10.266252554476399,10.528269038216493,10.844452184799781,11.252445386860561,11.579422684475057,0.9916051840574147
1,skew 0; mean 10; sd 1,val,2019-01-01,00:00:00,2021-01-01,00:00:00,20000,20000,0,USGS,10.000846909636326,8.353228445221335,8.734420665267564,9.172716202639982,9.477298039483873,9.749988106495584,10.020263521006814,10.266252554476399,10.528269038216493,10.844452184799781,11.252445386860561,11.579422684475057,0.9916051840574147
1,skew 0,val,2019-01-01,00:00:00,2021-01-01,00:00:00,20000,20000,0,USGS,10.08711679175641,8.445173657303709,8.804829611041578,9.239617444881224,9.558022491477544,9.820838005298608,10.089345973696364,10.320881047301075,10.596531363891744,10.931276819684518,11.39367319420734,11.754345939917295,1.0039471121635495
1,skew 0,val,2019-01-01,00:00:00,2021-01-01,00:00:00,20000,20000,0,USGS,10.08711679175641,8.445173657303709,8.804829611041578,9.239617444881224,9.558022491477544,9.820838005298608,10.089345973696364,10.320881047301075,10.596531363891744,10.931276819684518,11.39367319420734,11.754345939917295,1.0039471121635495
1,skew 10; mean 10; sd 1,val,2019-01-01,00:00:00,2021-01-01,00:00:00,20000,20000,0,USGS,10.791524499472583,10.039169506834922,10.119123006086534,10.25310963242682,10.384356890667545,10.528384690177328,10.682069629114732,10.844937157046456,11.028828106189225,11.265328024111913,11.643566995484917,11.957886198641296,0.6031588936915606
1,skew 0,val,2019-01-01,00:00:00,2021-01-01,00:00:00,20000,20000,0,USGS,10.08711679175641,8.445173657303709,8.804829611041578,9.239617444881224,9.558022491477544,9.820838005298608,10.089345973696364,10.320881047301075,10.596531363891744,10.931276819684518,11.39367319420734,11.754345939917295,1.0039471121635495
1,skew 0,val,2019-01-01,00:00:00,2021-01-01,00:00:00,20000,20000,0,USGS,10.08711679175641,8.445173657303709,8.804829611041578,9.239617444881224,9.558022491477544,9.820838005298608,10.089345973696364,10.320881047301075,10.596531363891744,10.931276819684518,11.39367319420734,11.754345939917295,1.0039471121635495
1,skew 1000; mean 100; sd 15,val,2019-01-01,00:00:00,2021-01-01,00:00:00,20000,20000,0,USGS,112.0943421183347,101.01369534456607,101.99116755226859,103.90942548937757,105.89334013282121,108.0124988527185,110.14948557666528,112.67263217179581,115.52075851917033,119.36434242316123,124.87298955404044,129.86876541978017,9.124776255101326
1,skew 1000; mean 100; sd 15,val,2018-05-22,12:30:00,2021-01-01,00:00:00,20000,20000,0,USGS,112.0943421183347,101.01369534456607,101.99116755226859,103.90942548937757,105.89334013282121,108.0124988527185,110.14948557666528,112.67263217179581,115.52075851917033,119.36434242316123,124.87298955404044,129.86876541978017,9.124776255101326
1,skew 0,val,2019-01-01,00:00:00,2021-01-01,00:00:00,20000,20000,0,USGS,10.08711679175641,8.445173657303709,8.804829611041578,9.239617444881224,9.558022491477544,9.820838005298608,10.089345973696364,10.320881047301075,10.596531363891744,10.931276819684518,11.39367319420734,11.754345939917295,1.0039471121635495
1,skew 0,val,2019-01-01,00:00:00,2021-01-01,00:00:00,20000,20000,0,USGS,10.08711679175641,8.445173657303709,8.804829611041578,9.239617444881224,9.558022491477544,9.820838005298608,10.089345973696364,10.320881047301075,10.596531363891744,10.931276819684518,11.39367319420734,11.754345939917295,1.0039471121635495
1,skew 0,val,2019-01-01,00:00:00,2021-01-01,00:00:00,20000,20000,0,USGS,10.062698519801032,8.407686167882375,8.771504046702871,9.21723254563135,9.538035763270122,9.81459410812936,10.075184803323012,10.32239798280173,10.59155078230977,10.906544382777794,11.337217240219251,11.7229273343446,1.0019859041624855
1,skew 0,val,2019-01-01,00:00:00,2021-01-01,00:00:00,20000,20000,0,USGS,10.349852630029607,8.81522568303081,9.150589970215652,9.575871449547757,9.872551313767826,10.127768690004043,10.350611352267595,10.584268241397796,10.828389446449318,11.136870389504837,11.537069356939815,11.848385187363023,0.9236458049862035
1,skew 1; mean 10; sd 1,val,2019-01-01,00:00:00,2021-01-01,00:00:00,20000,20000,0,USGS,10.5551442337907,9.255441386523511,9.513815901254002,9.847503259533077,10.102943689561766,10.325675697410881,10.52615467766256,10.743334707610181,10.976524815944872,11.249303890817934,11.62225024744822,11.9494354399224,0.8289191751197753
1,skew 5; mean 10; sd 1,val,2019-01-01,00:00:00,2021-01-01,00:00:00,20000,20000,0,USGS,10.78042217022572,9.959578875513063,10.084792798320516,10.250123953193288,10.389865310008659,10.520938730072,10.6738364296353,10.834302706443406,11.024787002846844,11.270668834300638,11.628448453960583,11.968811943346541,0.6204589049767943
1,skew 50; mean 10; sd 1,val,2019-01-01,00:00:00,2021-01-01,00:00:00,20000,20000,0,USGS,10.804298983783594,10.06121309948947,10.12881488959944,10.254126363369096,10.387648956512972,10.52842150196065,10.680185366220154,10.839499230904616,11.044086028363207,11.287877538988186,11.661238899019565,11.984885096834972,0.6112423671602604
1,skew 500; mean 10; sd 1,val,2019-01-01,00:00:00,2021-01-01,00:00:00,20000,20000,0,USGS,10.803925558349835,10.061203815134231,10.127109727108213,10.258610957033454,10.389882943017414,10.531393633559933,10.685074229891239,10.846503484184005,11.04670979506777,11.294898128802782,11.653676031831122,11.95534157906417,0.6034336610968347
1,skew 500; mean 10; sd 1,val,2019-01-01,00:00:00,2021-01-01,00:00:00,20000,20000,0,USGS,10.803925558349835,10.061203815134231,10.127109727108213,10.258610957033454,10.389882943017414,10.531393633559933,10.685074229891239,10.846503484184005,11.04670979506777,11.294898128802782,11.653676031831122,11.95534157906417,0.6034336610968347
1,skew 500; mean 10; sd 1,val,2019-01-01,00:00:00,2021-01-01,00:00:00,20000,20000,0,USGS,10.803925558349835,10.061203815134231,10.127109727108213,10.258610957033454,10.389882943017414,10.531393633559933,10.685074229891239,10.846503484184005,11.04670979506777,11.294898128802782,11.653676031831122,11.95534157906417,0.6034336610968347
1,skew 500; mean 10; sd 1,val,2019-01-01,00:00:00,2021-01-01,00:00:00,20000,20000,0,USGS,10.803925558349835,10.061203815134231,10.127109727108213,10.258610957033454,10.389882943017414,10.531393633559933,10.685074229891239,10.846503484184005,11.04670979506777,11.294898128802782,11.653676031831122,11.95534157906417,0.6034336610968347
